ID,purchasingOrg,Identifier,value,IsActive,type,createdAt,createdBy,modifiedAt,modifiedBy
00000000-0000-0000-0000-000000000001,,PRType,NB,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000002,,ActivePurchasingGrps,C11,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000024,,ActivePurchasingGrps,C12,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000003,,IsAEMEnabled,true,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000004,,PONumberRangeExclusion,97,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000025,,PONumberRangeExclusion,55,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000005,,SCMSTARTrigger,SCM STAR,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000006,,ConfirmationControlKey,Y003,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000007,,GLAccountForAsset,8900000,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000008,,PurchaseOrderType,YIND,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000009,,AccountingCategories,A,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000026,,AccountingCategories,K,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000027,,AccountingCategories,P,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000010,,DIRPurchaseOrderType,YDNB,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000011,,ActiveGTSPurchasingOrgs,C501,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000012,,SATApproverRole,/SIE/FTC4P_MMX_PO_APPR_3012,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000013,,GRDelay,2,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000014,,INDPurchaseOrderType,YIND,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000015,,MaxSATApprover,5,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000016,,LocalCurrency,DKK,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000017,,ActivePurchasingOrgs,C501,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000019,,ActivePurchasingOrgs,SW36,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000020,,ActivePurchasingOrgs,SW37,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000021,,ActivePurchasingOrgs,SW38,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000022,,ActivePurchasingOrgs,SW39,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000023,,ActivePurchasingOrgs,CA00,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000018,,GoodsMovementType,101,true,TechnicalConstant,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
a1b2c3d4-1111-4000-a001-000000000001,C501,LocalCurrency,EUR,true,OrgSpecificConstant,2026-08-02T09:00:00Z,admin,2026-08-02T09:00:00Z,admin
a1b2c3d4-1111-4000-a001-000000000002,C501,PurchaseOrderType,YIND,true,OrgSpecificConstant,2026-08-02T09:00:00Z,admin,2026-08-02T09:00:00Z,admin
a1b2c3d4-1111-4000-a001-000000000003,C501,ConfirmationControlKey,Y003,true,OrgSpecificConstant,2026-08-02T09:00:00Z,admin,2026-08-02T09:00:00Z,admin
a1b2c3d4-1111-4000-a001-000000000004,C501,GRDelay,3,true,OrgSpecificConstant,2026-08-02T09:00:00Z,admin,2026-08-02T09:00:00Z,admin
a1b2c3d4-1111-4000-a001-000000000005,C501,GoodsMovementType,101,true,OrgSpecificConstant,2026-08-02T09:00:00Z,admin,2026-08-02T09:00:00Z,admin
a1b2c3d4-1111-4000-a001-000000000006,C501,GLAccountForAsset,8900000,true,OrgSpecificConstant,2026-08-02T09:00:00Z,admin,2026-08-02T09:00:00Z,admin
b2c3d4e5-2222-4000-a002-000000000001,SW36,LocalCurrency,USD,true,OrgSpecificConstant,2026-08-03T08:00:00Z,admin,2026-08-03T08:00:00Z,admin
b2c3d4e5-2222-4000-a002-000000000002,SW36,PurchaseOrderType,YIND,true,OrgSpecificConstant,2026-08-03T08:00:00Z,admin,2026-08-03T08:00:00Z,admin
b2c3d4e5-2222-4000-a002-000000000003,SW36,ConfirmationControlKey,Y004,true,OrgSpecificConstant,2026-08-03T08:00:00Z,admin,2026-08-03T08:00:00Z,admin
b2c3d4e5-2222-4000-a002-000000000004,SW36,GRDelay,5,true,OrgSpecificConstant,2026-08-03T08:00:00Z,admin,2026-08-03T08:00:00Z,admin
b2c3d4e5-2222-4000-a002-000000000005,SW36,GoodsMovementType,101,true,OrgSpecificConstant,2026-08-03T08:00:00Z,admin,2026-08-03T08:00:00Z,admin
b2c3d4e5-2222-4000-a002-000000000006,SW36,GLAccountForAsset,8950000,true,OrgSpecificConstant,2026-08-03T08:00:00Z,admin,2026-08-03T08:00:00Z,admin
c3d4e5f6-3333-4000-a003-000000000001,SW37,LocalCurrency,GBP,true,OrgSpecificConstant,2026-08-04T07:00:00Z,admin,2026-08-04T07:00:00Z,admin
c3d4e5f6-3333-4000-a003-000000000002,SW37,PurchaseOrderType,YDNB,true,OrgSpecificConstant,2026-08-04T07:00:00Z,admin,2026-08-04T07:00:00Z,admin
c3d4e5f6-3333-4000-a003-000000000003,SW37,ConfirmationControlKey,Y003,true,OrgSpecificConstant,2026-08-04T07:00:00Z,admin,2026-08-04T07:00:00Z,admin
